#Omega Cen l,b=(309.102011,14.968331) (fermi bg model: diffuse=gll_iem_v06.fits, isotropic=iso_P8R2_SOURCE_V6_v06.txt)
#Energy                   Diffuse flux             Isotropic flux
#GeV                      photons/cm^2/s/GeV/sr    photons/cm^2/s/GeV/sr 
5.847313308715820779e-02 4.746002325220771570e-04 5.953603190534128859e-04
7.997035980224609375e-02 3.388657313924178099e-04 2.695836557522872661e-04
1.093708953857421839e-01 2.259578101355822269e-04 1.265592722279058457e-04
1.495803222656250098e-01 1.470253556787506487e-04 6.626007545564268947e-05
2.045724639892578245e-01 9.107242130623996088e-05 3.281842976867387855e-05
2.797820739746093577e-01 5.347278091425274266e-05 1.523166943944893677e-05
3.826419677734375080e-01 3.093929061430041592e-05 7.325349411545984488e-06
5.233175659179687411e-01 1.737582631471662131e-05 3.412142101646818556e-06
7.157115478515625462e-01 9.468319470264495514e-06 1.514816346377454704e-06
9.788378295898437775e-01 4.861612744034737486e-06 6.506921461707259105e-07
1.338700561523437527e+00 2.329233559938900393e-06 3.067531005941318712e-07
1.830864257812500062e+00 1.139306142091716605e-06 1.436185818579551187e-07
2.503968505859375249e+00 5.442457412028603959e-07 6.340818387873112690e-08
3.424534667968750057e+00 2.536797565313127923e-07 3.341792516946385792e-08
4.683540527343749815e+00 1.151236061532716235e-07 1.843942952978460347e-08
6.405410644531250419e+00 5.203556969806801747e-08 1.150819272609196959e-08
8.760314453124999901e+00 2.349701685044633820e-08 7.921093890679956269e-09
1.198098144531249964e+01 1.035894575733289696e-08 4.627434870024628471e-09
1.638570312499999915e+01 4.516209770782129119e-09 2.400384266981665232e-09
2.240979101562500020e+01 2.000829336989263537e-09 1.074981763541369403e-09
3.064859179687499946e+01 9.012169038819044969e-10 5.027905396814040503e-10
4.191632812499999972e+01 4.082657306397803953e-10 2.482917715905511721e-10
5.732656640625000222e+01 1.888151532444576047e-10 1.073406487686560982e-10
7.840227343749999989e+01 8.891212654410756068e-11 5.005164079607629606e-11
1.072263125000000059e+02 4.297497134078090099e-11 2.460394814195399533e-11
1.466472968749999950e+02 2.009347322926254838e-11 1.036158525927904974e-11
2.005611250000000041e+02 9.094199400577448222e-12 4.985471827636180592e-12
2.742959999999999923e+02 4.044862777082129701e-12 2.761708776690326671e-12
3.751389687500000036e+02 1.799985640904111958e-12 1.445189632123408431e-12
5.130561562499999582e+02 7.752681981842367314e-13 7.556534714138235855e-13
